County,Region,pop
1,3,233416
2,3,24771
3,1,165035
4,3,24028
5,5,535641
6,7,1731174
7,1,12734
8,6,156966
9,4,138985
10,3,189614
11,6,316974
12,2,62925
13,6,31064
14,2,14992
15,3,844278
16,1,279660
17,3,95012
18,2,9721
19,2,44228
20,3,15811
21,6,11401
22,1,12413
23,2,11735
24,4,25747
25,6,37198
26,4,170950
27,6,97053
28,4,1207161
29,1,18195
30,5,136234
31,1,41752
32,2,13422
33,2,6776
34,5,293065
35,6,610266
36,2,260493
37,3,40166
38,2,6483
39,2,17291
40,6,318016
41,3,323059
42,5,142385
43,7,2456378
44,7,71070
45,3,72771
46,1,175939
47,6,37493
48,5,1112252
49,5,265423
50,7,1300162
51,4,459023
52,4,896864
53,4,589834
54,3,72957
55,1,147128
56,6,373826
57,5,419203
58,3,187241
59,5,274736
60,4,84468
61,2,40158
62,2,19316
63,3,10757
64,5,481784
65,2,27348
66,1,52978
67,1,22202
